dog_id, age, weight, sex, kind, color, neuter, thumnail, profile, careAddr, careNm, special, find_place , find_date , end_date
N448548202000333,2018(년생),10(Kg),M,진도견,흰색 ,N,http://www.animal.go.kr/files/shelter/2020/07/202009151909319_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009151909319.jpg,경상남도 합천군 합천읍 옥산로 16 (합천읍/ 까치빌라) 태민동물병원,태민동물병원,겁이 많고 경계심이 많아서 조심성이 많은 성격 ,합천읍 충효로,20200915,20200925
N448548202000332,2016(년생),7(Kg),M,아메리칸 에스키모,갈색 흰색 ,N,http://www.animal.go.kr/files/shelter/2020/07/202009151909418_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009151909418.jpg,경상남도 합천군 합천읍 옥산로 16 (합천읍/ 까치빌라) 태민동물병원,태민동물병원,사람을 잘따르고 온순하며 밝은성격,율곡면 노양3길9-1  ,20200915,20200925
N448548202000331,2017(년생),4(Kg),F,믹스견,흰색 ,N,http://www.animal.go.kr/files/shelter/2020/07/202009151909596_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009151909596.jpg,경상남도 합천군 합천읍 옥산로 16 (합천읍/ 까치빌라) 태민동물병원,태민동물병원,체리아이가 있고 사람을 너무 좋아하는 온순한 아기 ,율곡면 노양3길,20200915,20200925
N448547202000474,2018(년생),20(Kg),F,믹스견,황색,U,http://www.animal.go.kr/files/shelter/2020/07/202009151709431_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009151709431.jpeg,경상남도 거창군 남상면 수남로 1934-10 (남상면) ,보경동물병원,2세 추정,웅양면 운평길 67-9,20200915,20200925
N448543202000294,2020(년생),4(Kg),F,믹스견,흰색/ 갈색,N,http://www.animal.go.kr/files/shelter/2020/07/202009151509674_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009151509674.jpg,경상남도 남해군 이동면 무림로 33-13 (이동면) ,남해군유기동물보호소,온순하고 활발함/,경남 남해군 남면 선구리 항촌마을,20200915,20200925
N448543202000293,2020(년생),4(Kg),M,믹스견,흰색/ 갈색,N,http://www.animal.go.kr/files/shelter/2020/07/202009151509763_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009151509763.jpg,경상남도 남해군 이동면 무림로 33-13 (이동면) ,남해군유기동물보호소,온순함,경남 남해군 남면 선구리 항촌마을,20200915,20200925
N448543202000292,2014(년생),8(Kg),M,믹스견,검은색/ 흰색,N,http://www.animal.go.kr/files/shelter/2020/07/202009151009387_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009151009387.jpg,경상남도 남해군 이동면 무림로 33-13 (이동면) ,남해군유기동물보호소,온순함/ 3~4년 떠돌이 생활(주민증언),경남 남해군 서면 연죽삼거리 인근,20200915,20200925
N448540202000390,2019(년생),6.2(Kg),M,푸들,갈색,Y,http://www.animal.go.kr/files/shelter/2020/07/202009151709963_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009151709963.jpg,경상남도 함안군 가야읍 함안대로 755 ,함안군동물보호소,9월12일 함안면 함안파출소에서 인수,함안군 여항면 별천약수터,20200915,20200922
N448540202000389,2019(년생),3(Kg),M,믹스견,하양/검정,U,http://www.animal.go.kr/files/shelter/2020/07/202009151609677_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009151609677.jpg,경상남도 함안군 가야읍 함안대로 755 ,함안군동물보호소,기저귀입고 있었음/ 순함/(임보후입양예정),함안군 여항면 주서3길. 여항산등산로 입구 도로변,20200915,20200922
N448538202000490,2019(년생),3.6(Kg),M,믹스견,갈색,U,http://www.animal.go.kr/files/shelter/2020/07/202009151409636_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009151409636.jpg,경상남도 양산시 동면 석산리 392 양산시농업기술센터,양산시유기동물보호소,갈색,북정동대동1차아파트,20200915,20200925
