dog_id,age,weight,sex,kind,color,neuter,thumnail,profile,careAddr,careNum,special,find_place,find_date,end_date
N448544202000306,2019(년생),14(Kg),M,믹스견,흰색,N,http://www.animal.go.kr/files/shelter/2020/07/202010071310479_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010071310479.jpg,경상남도 하동군 적량면 한옥정길 90 (적량면) 유기동물보호소,055-880-2439,순함,하동군 적량면 사무소,20201007,20201017
N448539202000170,2020(년생),2(Kg),F,믹스견,흰검,U,http://www.animal.go.kr/files/shelter/2020/07/202010071110732_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010071110732.jpg,경상남도 의령군 가례면 가례로 74-24 (가례면) 신효진,055-570-4202,2개월령 목줄없음 사람손잘탐,경남 의령군 대의면 모의로5길 12-3부근,20201007,20201019
N448539202000169,2020(년생),2(Kg),F,믹스견,갈색,U,http://www.animal.go.kr/files/shelter/2020/07/202010071010122_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010071010122.jpg,경상남도 의령군 가례면 가례로 74-24 (가례면) 신효진,055-570-4202,2개월령 목줄없음 사람손잘탐,경남 의령군 대의면 모의로5길 12-3부근,20201007,20201019
N448539202000168,2020(년생),2(Kg),F,믹스견,갈색,U,http://www.animal.go.kr/files/shelter/2020/07/202010071010788_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010071010788.jpg,경상남도 의령군 가례면 가례로 74-24 (가례면) 신효진,055-570-4202,사람 손 잘탐  목줄없음 ,경남 의령군 대의면 모의로5길 12-3부근,20201007,20201019
N448537202001185,2020(년생),1.5(Kg),M,믹스견,흰색,N,http://www.animal.go.kr/files/shelter/2020/09/202010071410466_s.jpg,http://www.animal.go.kr/files/shelter/2020/09/202010071410466.jpg,경상남도 거제시 사등면 두동로1길 109 (사등면/ 한국자원재생공사폐비닐적재장) 거제시유기동물보호소,055-639-6368,유기견 5마리 출산,유기동물보호소,20201007,20201019
N448537202001184,2020(년생),1.5(Kg),M,믹스견,흰색,N,http://www.animal.go.kr/files/shelter/2020/09/202010071410472_s.jpg,http://www.animal.go.kr/files/shelter/2020/09/202010071410472.jpg,경상남도 거제시 사등면 두동로1길 109 (사등면/ 한국자원재생공사폐비닐적재장) 거제시유기동물보호소,055-639-6368,유기견 5마리 출산,유기동물보호소,20201007,20201019
N448537202001183,2020(년생),1.5(Kg),F,믹스견,흰색,N,http://www.animal.go.kr/files/shelter/2020/09/202010071410567_s.jpg,http://www.animal.go.kr/files/shelter/2020/09/202010071410567.jpg,경상남도 거제시 사등면 두동로1길 109 (사등면/ 한국자원재생공사폐비닐적재장) 거제시유기동물보호소,055-639-6368,유기견 5마리 출산,유기동물보호소,20201007,20201019
N448537202001182,2020(년생),1.5(Kg),F,믹스견,흰색,N,http://www.animal.go.kr/files/shelter/2020/09/202010071410818_s.jpg,http://www.animal.go.kr/files/shelter/2020/09/202010071410818.jpg,경상남도 거제시 사등면 두동로1길 109 (사등면/ 한국자원재생공사폐비닐적재장) 거제시유기동물보호소,055-639-6368,유기견 5마리 출산,유기동물보호소,20201007,20201019
N448537202001181,2020(년생),1.5(Kg),F,믹스견,흰색,N,http://www.animal.go.kr/files/shelter/2020/09/202010071410958_s.jpg,http://www.animal.go.kr/files/shelter/2020/09/202010071410958.jpg,경상남도 거제시 사등면 두동로1길 109 (사등면/ 한국자원재생공사폐비닐적재장) 거제시유기동물보호소,055-639-6368,유기견 5마리 출산,유기동물보호소,20201007,20201019
N448537202001180,2018(년생),9(Kg),F,믹스견,갈색,N,http://www.animal.go.kr/files/shelter/2020/07/202010071110569_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202010071110569.jpg,경상남도 거제시 사등면 두동로1길 109 (사등면/ 한국자원재생공사폐비닐적재장) 거제시유기동물보호소,055-639-6368,순한편,동부 씨엔젤펜션 위 도로가,20201007,20201019
