shelter_name,shelter_id,shelter_address,shelter_lat,shelter_lng,shelter_tel
한국동물구조관리협회,3.11322E+14,경기도 양주시 남면 감악산로 63-37 (남면) 한국동물구조관리협회,37.87011581,126.9835431,031-867-9119
한국동물구조관리협회,3.11324E+14,경기도 양주시 남면 감악산로 63-37 ,37.87011581,126.9835431,031-867-9119
한국동물구조관리협회,3.11308E+14,경기도 양주시 남면 감악산로 63-37 (남면) ,37.86989401,126.9831154,031-867-9119
한국동물구조관리협회,3.11315E+14,경기도 양주시 남면 감악산로 63-37 (남면) 한국동물구조관리협회,37.86989401,126.9831154,031-867-9119
러브펫종합동물병원,3.1132E+14,서울특별시 관악구 남부순환로 1429 (신림동) ,37.4811777,126.9095731,02-837-8875
한국동물구조관리협회,3.11304E+14,경기도 양주시 남면 감악산로 63-37 (남면) ,37.86989401,126.9831154,031-867-9119
한국동물구조관리협회,3.11316E+14,경기도 양주시 남면 상수리 410-1,37.87011581,126.9835431,031-867-9119
한국동물구조관리협회,3.11317E+14,경기도 양주시 남면 감악산로 63-37 (남면) ,37.87066619,126.9833551,031-867-9119
한국동물구조관리협회,3.1131E+14,경기도 양주시 남면 감악산로 63-37 (남면) ,37.86989401,126.9831154,031-868-2851
한국동물구조관리협회,3.11309E+14,경기도 양주시 남면 상수리 410-1,37.87444474,126.9816716,031-867-9119
한국동물구조관리협회,3.11305E+14,경기도 양주시 남면 감악산로 63-37 ,37.86989401,126.9831154,031-867-9119
디아크동물종합병원,3.11319E+14,서울특별시 동작구 장승배기로27길 18 (노량진동) ,37.51168749,126.9390383,02-816-7582
박창석동물병원,3.11313E+14,서울특별시 마포구 도화길 42 (도화동) ,37.54151715,126.9503645,02-6405-7582
용강동물병원,3.11313E+14,서울특별시 마포구 대흥로 48 (대흥동) ,37.54484692,126.9394791,02-707-2340
홍익동물병원,3.11313E+14,서울특별시 마포구 독막로 45 (합정동) ,37.54809911,126.9183935,02-325-2026
망원동물병원,3.11313E+14,서울특별시 마포구 월드컵로 65 (망원동  망원 양경회관) ,37.55486306,126.9108661,02-332-0175
웰케어 동물병원,3.11313E+14,서울특별시 마포구 월드컵북로 27 (서교동  이화빌딩) 서교동447-2,37.55687504,126.9190887,02-337-7575
C.T종합동물병원,3.11313E+14,서울특별시 마포구 만리재로 74 (신공덕동  신공덕2차삼성래미안) 삼성 래미안상가 117호,37.54685973,126.9583847,02-6375-0075
한국동물구조관리협회,3.11312E+14,경기도 양주시 남면 감악산로 63-37 (남면) ,37.86989401,126.9831154,031-867-9119
한국동물구조관리협회,3.11321E+14,경기도 양주시 남면 감악산로 63-37 (남면) ,37.87011581,126.9835431,031-867-9119
한국동물구조관리협회,3.11303E+14,경기도 양주시 남면 감악산로 63-37 (남면) ,37.870198,126.983347,031-867-9119
한국동물구조관리협회,3.11307E+14,경기도 양주시 남면 감악산로 63-37 (남면) ,37.86989401,126.9831154,031-867-9119
한국동물구조관리협회,3.11323E+14,경기도 양주시 남면 감악산로 63-37 (남면) ,37.87011581,126.9835431,031-867-9119
강현림동물병원,3.11314E+14,서울특별시 양천구 등촌로 160 (목동) 1층,37.54403479,126.8624201,02-2642-9159
한국동물구조관리협회,3.11311E+14,경기도 양주시 남면 상수리 410-1,37.87011581,126.9835431,031-867-9119
한국동물구조관리협회,3.113E+14,경기도 양주시 남면 감악산로 63-37 (남면) ,37.87048366,126.9836405,031-867-9119
