shelter_name,shelter_id,shelter_address,shelter_lat,shelter_lng,shelter_tel
한국동물구조관리협회,311322200900001,경기도 양주시 남면 감악산로 63-37 (남면) 한국동물구조관리협회,37.8701158122,126.9835430508,031-867-9119
한국동물구조관리협회,311324201200001,경기도 양주시 남면 감악산로 63-37 ,37.8701158122,126.9835430508,031-867-9119
한국동물구조관리협회,311308201100001,경기도 양주시 남면 감악산로 63-37 (남면) ,37.869894005,126.98311544,031-867-9119
한국동물구조관리협회,311315200900001,경기도 양주시 남면 감악산로 63-37 (남면) 한국동물구조관리협회,37.869894005,126.98311544,031-867-9119
러브펫종합동물병원,311320201300001,서울특별시 관악구 남부순환로 1429 (신림동) ,37.4811777,126.909573105,02-837-8875
한국동물구조관리협회,311304200900003,경기도 양주시 남면 감악산로 63-37 (남면) ,37.869894005,126.98311544,031-867-9119
한국동물구조관리협회,311316201100001,경기도 양주시 남면 상수리 410-1,37.8701158122,126.9835430508,031-867-9119
한국동물구조관리협회,311317201400001,경기도 양주시 남면 감악산로 63-37 (남면) ,37.870666189,126.983355051,031-867-9119
한국동물구조관리협회,311310201000001,경기도 양주시 남면 감악산로 63-37 (남면) ,37.869894005,126.98311544,031-868-2851
한국동물구조관리협회,311309200900001,경기도 양주시 남면 상수리 410-1,37.874444736,126.981671632,031-867-9119
한국동물구조관리협회,311305201300001,경기도 양주시 남면 감악산로 63-37 ,37.869894005,126.98311544,031-867-9119
디아크동물종합병원,311319201200001,서울특별시 동작구 장승배기로27길 18 (노량진동) ,37.51168749,126.93903831,02-816-7582
박창석동물병원,311313201000006,서울특별시 마포구 도화길 42 (도화동) ,37.541517149,126.950364461,02-6405-7582
용강동물병원,311313201000009,서울특별시 마포구 대흥로 48 (대흥동) ,37.544846922,126.939479132,02-707-2340
홍익동물병원,311313201000017,서울특별시 마포구 독막로 45 (합정동) ,37.548099112,126.918393548,02-325-2026
망원동물병원,311313201000018,서울특별시 마포구 월드컵로 65 (망원동  망원 양경회관) ,37.554863058,126.910866093,02-332-0175
웰케어 동물병원,311313201300003,서울특별시 마포구 월드컵북로 27 (서교동  이화빌딩) 서교동447-2,37.556875043,126.919088707,02-337-7575
C.T종합동물병원,311313202000001,서울특별시 마포구 만리재로 74 (신공덕동  신공덕2차삼성래미안) 삼성 래미안상가 117호,37.546859734,126.958384698,02-6375-0075
