dog_id, age, weight, sex, kind, color, neuter, thumnail, profile, careAddr, careNm	, special, find_place , find_date , end_date
N448534202000837,2020(년생),1(Kg),F,믹스견,검은색,N,http://www.animal.go.kr/files/shelter/2020/07/202009111309688_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009111309688.jpg,경상남도 사천시 곤명면 흥신로 514 (곤명면) ,사천시위탁관리소,2개월령/ 어미개와 같이 구조된 6마리 중 1마리,은도원길12-19,20200911,20200921
N448534202000836,2020(년생),1(Kg),M,믹스견,검은색,N,http://www.animal.go.kr/files/shelter/2020/07/202009111309287_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009111309287.jpg,경상남도 사천시 곤명면 흥신로 514 (곤명면) ,사천시위탁관리소,2개월령/ 어미개와 같이 구조된 6마리 중 1마리,은도원길12-19,20200911,20200921
N448534202000835,2020(년생),1(Kg),M,믹스견,검은색,N,http://www.animal.go.kr/files/shelter/2020/07/20200911130954_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/20200911130954.jpg,경상남도 사천시 곤명면 흥신로 514 (곤명면) ,사천시위탁관리소,2개월령/ 어미개와 같이 구조된 6마리 중 1마리,은도원길12-19,20200911,20200921
N448534202000834,2020(년생),1(Kg),F,믹스견,검은색,N,http://www.animal.go.kr/files/shelter/2020/07/202009111309627_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009111309627.jpg,경상남도 사천시 곤명면 흥신로 514 (곤명면) ,사천시위탁관리소,2개월령/ 어미개와 같이 구조된 6마리 중 1마리 ,은도원길12-19,20200911,20200921
N448534202000833,2020(년생),1(Kg),F,믹스견,검은색,N,http://www.animal.go.kr/files/shelter/2020/07/202009111309146_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009111309146.jpg,경상남도 사천시 곤명면 흥신로 514 (곤명면) ,사천시위탁관리소,2개월령/ 어미개와 같이 구조된 6마리 중 1마리 ,은도원길12-19,20200911,20200921
N448534202000832,2017(년생),6(Kg),F,믹스견,흰색,N,http://www.animal.go.kr/files/shelter/2020/07/20200911130986_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/20200911130986.jpg,경상남도 사천시 곤명면 흥신로 514 (곤명면) ,사천시위탁관리소,흰색바탕에 연한황색 무늬/ 구조된 6마리중  어미개,은도원길12-19,20200911,20200921
N448534202000831,2013(년생),6(Kg),M,말티즈,흰색,N,http://www.animal.go.kr/files/shelter/2020/07/202009110909323_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009110909323.jpg,경상남도 사천시 곤명면 흥신로 514 (곤명면) ,사천시위탁관리소,흰색/ 말티즈,해안도로,20200911,20200921
N448534202000830,2015(년생),25(Kg),M,믹스견,흰색,N,http://www.animal.go.kr/files/shelter/2020/07/202009110909686_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009110909686.jpg,경상남도 사천시 곤명면 흥신로 514 (곤명면) ,사천시위탁관리소,흰색/,서포119,20200911,20200921
N448534202000829,2018(년생),6(Kg),M,믹스견,검은색,N,http://www.animal.go.kr/files/shelter/2020/07/202009110909591_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009110909591.jpg,경상남도 사천시 곤명면 흥신로 514 (곤명면) ,사천시위탁관리소,검은색/ 발색깔이 연한 황색,석양길500,20200911,20200921
N447514202000128,2020(년생),5(Kg),M,믹스견,갈색,U,http://www.animal.go.kr/files/shelter/2020/07/202009110809119_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009110809119.jpg,경상북도 군위군 군위읍 중앙1길 17 (군위읍) ,우성동물병원,경계심이 강함,동부2동,20200911,20200921
N447502202001523,2017(년생),7(Kg),M,믹스견,황,N,http://www.animal.go.kr/files/shelter/2020/07/202009111109321_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009111109321.jpg,경상북도 포항시 북구 흥해읍 덕장길 224 (흥해읍) ,영일동물플러스,포획틀로 구조/털이 심하게 엉켜있음(바깥생활을 오래한듯함)/약간소심함/온순함/예쁜얼굴,경상북도 포항시 남구 오천읍 용덕리 2-15 해병대제1사단 인근,20200911,20200921
N444461202000493,2020(년생),1(Kg),F,믹스견,흰갈,U,http://www.animal.go.kr/files/shelter/2020/07/202009111109484_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009111109484.jpg,충청남도 예산군 예산읍 예산로 251 (예산읍) 흙동물병원,흙동물병원,이상없음,신흥24번길 9-3,20200911,20200921
N444461202000492,2020(년생),1(Kg),M,믹스견,검회,U,http://www.animal.go.kr/files/shelter/2020/07/202009111109810_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009111109810.jpg,충청남도 예산군 예산읍 예산로 251 (예산읍) 흙동물병원,흙동물병원,이상없음,예산 임성로 32,20200911,20200921
N444461202000491,2019(년생),6(Kg),M,믹스견,검은색,U,http://www.animal.go.kr/files/shelter/2020/07/202009111109319_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009111109319.jpg,충청남도 예산군 예산읍 예산로 251 (예산읍) 흙동물병원,흙동물병원,이상없음,고덕면 구만리윗뜸길 27,20200911,20200921
N444461202000490,2019(년생),10(Kg),F,그레이 하운드,흰갈검,U,http://www.animal.go.kr/files/shelter/2020/07/202009111109453_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009111109453.jpg,충청남도 예산군 예산읍 예산로 251 (예산읍) 흙동물병원,흙동물병원,이상없음,신양면 청신로 352,20200911,20200921
N444461202000485,2020(년생),3(Kg),M,믹스견,검은색,U,http://www.animal.go.kr/files/shelter/2020/07/202009111109372_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009111109372.jpg,충청남도 예산군 예산읍 예산로 251 (예산읍) 흙동물병원,흙동물병원,이상없음,예산로 223번길 13,20200911,20200921
N444461202000484,2019(년생),2(Kg),F,믹스견,흰갈,U,http://www.animal.go.kr/files/shelter/2020/07/202009111109202_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009111109202.jpg,충청남도 예산군 예산읍 예산로 251 (예산읍) 흙동물병원,흙동물병원,이상없음,공주대학교,20200911,20200921
